Trans Hist Date,week_day,1 PM,10 AM,11 AM,12 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 AM
2022-06-01,Wednesday,15.444444444444445,17.25,18.25,15.142857142857142,16.75,14.125,15.11111111111111,11.555555555555555,12.857142857142858,9.0,10.0,16.25
2022-06-02,Thursday,16.5,11.0,18.75,13.88888888888889,14.25,14.5,12.25,10.428571428571429,9.0,10.75,22.0,15.2
2022-06-03,Friday,10.375,13.0,12.11111111111111,12.444444444444445,14.0,13.857142857142858,11.714285714285714,20.5,33.0,14.0,11.0,14.0
2022-06-04,Saturday,12.625,8.75,13.333333333333334,12.5,12.833333333333334,12.571428571428571,11.833333333333334,23.0,,,,12.0
2022-06-05,Sunday,13.833333333333334,,11.5,12.4,15.0,13.428571428571429,9.857142857142858,19.0,,,,
2022-06-06,Monday,12.5,14.0,11.375,12.777777777777779,12.666666666666666,14.5,9.222222222222221,14.666666666666666,10.0,11.0,7.0,13.75
2022-06-07,Tuesday,14.571428571428571,13.714285714285714,14.0,14.0,15.5,11.88888888888889,17.0,14.125,11.833333333333334,11.0,7.0,13.0
2022-06-08,Wednesday,12.714285714285714,13.833333333333334,13.666666666666666,11.125,14.285714285714286,14.142857142857142,14.666666666666666,12.625,13.428571428571429,11.25,15.0,16.75
2022-06-09,Thursday,14.857142857142858,14.714285714285714,20.833333333333332,12.777777777777779,11.7,13.285714285714286,11.375,10.4,9.833333333333334,6.75,6.0,13.0
2022-06-10,Friday,16.428571428571427,19.4,11.7,15.5,15.5,13.25,10.777777777777779,21.5,34.0,23.0,13.0,11.5
2022-06-11,Saturday,12.833333333333334,12.4,10.555555555555555,12.0,10.875,10.625,11.333333333333334,20.0,,,,13.0
2022-06-12,Sunday,17.6,,10.166666666666666,11.166666666666666,18.0,13.0,13.75,15.0,,,,
2022-06-13,Monday,14.666666666666666,11.5,16.285714285714285,13.125,15.5,13.777777777777779,14.0,8.571428571428571,10.666666666666666,12.0,9.5,13.0
2022-06-14,Tuesday,15.375,16.0,17.166666666666668,13.625,12.444444444444445,12.142857142857142,14.125,11.625,13.5,10.2,9.0,17.0
2022-06-15,Wednesday,12.25,13.714285714285714,13.25,13.25,14.444444444444445,14.625,12.333333333333334,13.285714285714286,11.5,6.4,7.0,14.8
2022-06-16,Thursday,13.75,14.5,12.375,14.88888888888889,15.875,14.714285714285714,12.666666666666666,11.2,11.6,10.0,10.0,13.5
2022-06-17,Friday,11.0,11.222222222222221,11.714285714285714,15.142857142857142,14.75,11.88888888888889,12.875,16.0,22.0,17.0,13.0,11.666666666666666
2022-06-18,Saturday,13.375,14.5,11.714285714285714,17.571428571428573,12.625,16.125,13.6,26.0,,,,12.0
2022-06-21,Tuesday,15.666666666666666,18.571428571428573,14.333333333333334,15.777777777777779,15.88888888888889,16.875,16.5,13.333333333333334,12.571428571428571,12.4,8.0,19.0
2022-06-22,Wednesday,15.25,13.875,12.5,14.0,15.285714285714286,14.333333333333334,15.75,12.555555555555555,12.0,10.2,10.0,11.833333333333334
2022-06-23,Thursday,15.0,15.714285714285714,15.333333333333334,16.125,42.5,18.714285714285715,11.571428571428571,9.625,11.8,11.0,11.0,14.0
2022-06-24,Friday,16.428571428571427,14.833333333333334,15.285714285714286,14.0,12.25,14.666666666666666,15.0,15.0,29.0,19.0,9.0,10.0
2022-06-25,Saturday,12.777777777777779,11.714285714285714,18.5,12.5,13.285714285714286,14.0,12.833333333333334,18.0,,,,10.8
2022-06-26,Sunday,16.285714285714285,,12.666666666666666,9.2,15.333333333333334,14.0,14.0,29.0,,,,
2022-06-27,Monday,15.222222222222221,11.571428571428571,12.625,15.857142857142858,14.125,15.0,14.5,13.285714285714286,10.0,9.2,7.0,15.0
2022-06-28,Tuesday,14.714285714285714,12.5,14.75,14.5,14.125,17.666666666666668,10.222222222222221,15.833333333333334,12.166666666666666,10.75,11.0,11.666666666666666
2022-06-29,Wednesday,10.875,14.166666666666666,16.625,19.0,16.333333333333332,14.125,13.625,12.25,11.714285714285714,8.5,10.5,13.4
2022-06-30,Thursday,14.666666666666666,13.0,14.625,10.7,11.625,13.428571428571429,10.88888888888889,9.142857142857142,9.75,8.8,21.0,12.0
2022-07-01,Friday,12.0,13.25,13.75,15.333333333333334,15.0,16.375,13.125,21.5,17.0,18.0,8.0,12.666666666666666
2022-07-02,Saturday,14.166666666666666,11.75,11.142857142857142,12.428571428571429,15.166666666666666,17.5,19.6,15.0,,,,11.0
2022-07-03,Sunday,21.25,,11.5,23.0,16.2,18.75,15.25,21.0,,,,
2022-07-05,Tuesday,17.666666666666668,17.833333333333332,19.5,16.285714285714285,14.833333333333334,15.375,14.428571428571429,16.142857142857142,14.333333333333334,10.8,16.0,18.25
2022-07-06,Wednesday,17.875,13.0,14.75,13.777777777777779,15.0,15.875,16.142857142857142,10.88888888888889,11.555555555555555,10.0,10.0,16.0
2022-07-07,Thursday,16.571428571428573,18.5,14.25,14.222222222222221,15.285714285714286,13.375,12.222222222222221,10.142857142857142,8.714285714285714,9.4,13.0,14.8
2022-07-08,Friday,16.0,13.285714285714286,15.125,16.5,17.714285714285715,15.88888888888889,10.666666666666666,22.5,20.0,23.0,10.0,16.4
2022-07-09,Saturday,19.2,13.666666666666666,13.0,17.8,14.714285714285714,15.714285714285714,11.714285714285714,27.0,,,,13.2
2022-07-10,Sunday,17.571428571428573,,14.5,14.8,13.857142857142858,14.0,13.833333333333334,26.0,,,,
2022-07-11,Monday,13.571428571428571,13.75,12.375,13.1,17.625,18.375,14.875,12.142857142857142,12.666666666666666,10.5,9.5,19.5
2022-07-12,Tuesday,16.75,15.333333333333334,12.88888888888889,14.25,13.875,14.0,11.444444444444445,13.0,12.666666666666666,10.2,9.0,19.2
2022-07-13,Wednesday,13.333333333333334,16.875,12.333333333333334,12.7,17.11111111111111,18.125,14.375,12.428571428571429,14.0,15.25,5.0,17.8
2022-07-14,Thursday,16.25,13.333333333333334,15.0,15.857142857142858,14.0,20.5,11.0,11.125,10.5,9.25,7.0,11.25
2022-07-15,Friday,16.571428571428573,12.428571428571429,15.142857142857142,15.142857142857142,15.25,14.625,14.375,22.5,22.0,17.0,7.0,12.0
2022-07-16,Saturday,13.0,15.714285714285714,11.333333333333334,16.285714285714285,12.0,13.25,14.0,19.0,,,,16.2
2022-07-17,Sunday,17.285714285714285,,25.0,13.333333333333334,19.25,16.25,9.333333333333334,29.0,,,,
2022-07-18,Monday,15.25,17.714285714285715,13.777777777777779,15.428571428571429,15.0,18.125,14.375,16.428571428571427,12.333333333333334,9.0,7.0,14.0
2022-07-19,Tuesday,13.5,16.142857142857142,15.714285714285714,15.428571428571429,15.125,13.125,17.142857142857142,8.6,14.75,7.6,14.5,18.0
2022-07-20,Wednesday,18.166666666666668,16.428571428571427,15.428571428571429,19.166666666666668,15.75,17.571428571428573,11.5,14.0,9.142857142857142,8.833333333333334,6.0,16.5
